Case,Checking_status,Credit_history,Credit_amount,Saving_status,Employment,Personal_status,Age,Job,Class
67,197.5,265.5,2171,302,86.5,155.5,29,314.5,1
68,135,265.5,1007,24.5,170,46.5,22,314.5,1
69,197.5,265.5,1819,302,170,274.5,37,101.5,0
70,197.5,265.5,2394,92,170,155.5,25,314.5,1
71,197.5,265.5,8133,302,170,155.5,30,314.5,1
72,197.5,147,730,92,127,274.5,46,101.5,1
73,137.5,147,1164,302,127,274.5,51,74.5,1
74,135,147,5954,302,87.5,155.5,41,101.5,1
75,137.5,265.5,1977,92,127,274.5,40,74.5,0
76,137.5,147,1526,302,127,274.5,66,74.5,1
77,137.5,265.5,3965,302,86.5,274.5,34,314.5,0
78,135,44.5,4771,302,87.5,274.5,51,314.5,1
79,197.5,20.5,9436,92,170,274.5,39,101.5,1
80,135,265.5,3832,302,86.5,46.5,22,314.5,1
81,197.5,265.5,5943,92,86.5,155.5,44,314.5,0
82,197.5,265.5,1213,32,127,274.5,47,314.5,1
83,197.5,265.5,1568,52,170,155.5,24,101.5,1
84,137.5,265.5,1755,302,127,155.5,58,101.5,1
85,137.5,265.5,2315,302,127,274.5,52,101.5,1
86,197.5,147,1412,302,170,155.5,29,74.5,1
87,135,147,1295,302,86.5,155.5,27,314.5,1
88,135,265.5,12612,52,170,274.5,47,314.5,0
89,137.5,265.5,2249,52,87.5,274.5,30,74.5,1
90,137.5,20.5,1108,302,87.5,274.5,28,314.5,0
91,197.5,147,618,302,127,274.5,56,314.5,1
92,137.5,147,1409,302,127,274.5,54,314.5,1
93,197.5,147,797,92,127,155.5,33,101.5,0
94,32,147,3617,92,127,274.5,20,314.5,1
95,135,265.5,1318,24.5,127,274.5,54,314.5,1
96,135,20.5,15945,302,86.5,274.5,58,314.5,0
97,197.5,147,2012,92,87.5,155.5,61,314.5,1
98,135,265.5,2622,52,170,274.5,34,314.5,1
99,135,147,2337,302,127,274.5,36,314.5,1
100,135,44.5,7057,92,87.5,274.5,36,74.5,1
101,197.5,265.5,1469,52,127,46.5,41,101.5,1
102,135,265.5,2323,302,87.5,274.5,24,314.5,1
103,197.5,44.5,932,302,170,155.5,24,314.5,1
104,135,147,1919,302,87.5,274.5,35,314.5,1
105,197.5,265.5,2445,92,86.5,46.5,26,314.5,1
106,135,147,11938,302,170,274.5,39,74.5,0
107,197.5,25,6458,302,127,274.5,39,74.5,0
108,135,265.5,6078,302,87.5,274.5,32,314.5,1
109,137.5,265.5,7721,92,86.5,155.5,30,314.5,1
110,135,265.5,1410,32,127,46.5,35,314.5,1
111,135,44.5,1449,52,127,25.5,31,314.5,1
112,32,265.5,392,302,86.5,155.5,23,314.5,1
113,135,265.5,6260,302,87.5,274.5,28,101.5,1
114,197.5,147,7855,302,170,155.5,25,314.5,0
115,137.5,265.5,1680,32,127,46.5,35,314.5,1
116,197.5,147,3578,92,127,274.5,47,314.5,1
117,137.5,265.5,7174,92,87.5,155.5,30,74.5,0
118,137.5,147,2132,92,86.5,155.5,27,314.5,1
119,137.5,147,4281,32,170,155.5,23,314.5,0
120,135,147,2366,32,87.5,25.5,36,74.5,1
121,137.5,265.5,1835,302,170,155.5,25,314.5,0
122,197.5,147,3868,302,127,155.5,41,74.5,1
123,197.5,265.5,1768,302,170,274.5,24,101.5,1
124,32,147,781,302,127,274.5,63,314.5,1
125,135,265.5,1924,92,86.5,155.5,27,314.5,0
126,137.5,147,2121,302,170,274.5,30,314.5,1
127,137.5,265.5,701,302,170,46.5,40,101.5,1
128,135,265.5,639,302,170,274.5,30,314.5,0
129,135,147,1860,302,31.5,274.5,34,74.5,1
130,137.5,147,3499,302,170,155.5,29,314.5,0
131,135,265.5,8487,92,87.5,155.5,24,314.5,1
132,137.5,44.5,6887,302,170,274.5,29,314.5,0
133,197.5,265.5,2708,302,86.5,274.5,27,101.5,1
134,197.5,265.5,1984,302,170,274.5,47,314.5,1
135,197.5,265.5,10144,52,87.5,155.5,21,314.5,1
136,197.5,147,1240,92,127,155.5,38,314.5,1
137,197.5,44.5,8613,24.5,170,274.5,27,314.5,1
138,135,265.5,766,32,170,274.5,66,101.5,0
139,135,147,2728,92,87.5,274.5,35,314.5,1
140,32,265.5,1881,302,170,155.5,44,101.5,1
141,32,265.5,709,24.5,86.5,46.5,27,11.5,1
142,135,265.5,4795,302,86.5,155.5,30,74.5,1
143,137.5,265.5,3416,302,170,274.5,27,74.5,1
144,137.5,265.5,2462,302,170,274.5,22,314.5,0
145,197.5,147,2288,302,86.5,155.5,23,314.5,1
146,135,25,3566,52,87.5,274.5,30,314.5,1
147,137.5,147,860,302,127,155.5,39,314.5,1
148,197.5,147,682,52,87.5,155.5,51,314.5,1
149,137.5,147,5371,302,170,274.5,28,314.5,1
150,197.5,147,1582,24.5,127,274.5,46,314.5,1
151,197.5,265.5,1346,52,127,274.5,42,314.5,1
152,197.5,265.5,1924,302,170,274.5,38,314.5,1
153,32,265.5,5848,302,170,274.5,24,314.5,1
154,135,147,7758,24.5,127,155.5,29,314.5,1
155,135,44.5,6967,52,87.5,274.5,36,74.5,1
156,137.5,265.5,1282,302,170,155.5,20,314.5,0
157,137.5,147,1288,52,127,274.5,48,314.5,1
158,137.5,25,339,302,127,46.5,45,101.5,1
159,135,265.5,3512,52,87.5,274.5,38,314.5,1
160,197.5,147,1898,92,170,274.5,34,101.5,1
161,197.5,147,2872,52,127,274.5,36,314.5,1
162,197.5,147,1055,302,86.5,155.5,30,314.5,1
163,197.5,265.5,1262,32,87.5,274.5,36,314.5,1
164,135,265.5,7308,302,31.5,274.5,70,74.5,1
165,197.5,265.5,909,32,127,274.5,36,314.5,1
166,197.5,265.5,2978,32,170,274.5,32,314.5,1
167,137.5,265.5,1131,302,31.5,155.5,33,314.5,0
168,135,265.5,1577,24.5,86.5,155.5,20,314.5,1
169,197.5,265.5,3972,302,87.5,155.5,25,314.5,1
170,135,147,1935,302,127,25.5,31,314.5,0
171,137.5,20.5,950,302,127,274.5,33,314.5,0
172,197.5,265.5,763,302,170,155.5,26,314.5,1
173,135,44.5,2064,302,31.5,155.5,34,74.5,0
174,135,265.5,1414,302,170,274.5,33,314.5,1
175,137.5,44.5,3414,302,86.5,274.5,26,314.5,0
176,197.5,25,7485,92,31.5,155.5,53,74.5,0
177,137.5,265.5,2577,302,170,25.5,42,314.5,1
178,137.5,147,338,32,127,274.5,52,314.5,1
179,197.5,265.5,1963,302,87.5,274.5,31,74.5,1
180,137.5,147,571,302,127,274.5,65,314.5,1
181,197.5,44.5,9572,302,86.5,25.5,28,314.5,0
182,135,44.5,4455,302,170,25.5,30,74.5,0
183,137.5,25,1647,92,170,274.5,40,101.5,0
184,197.5,147,3777,24.5,170,274.5,50,314.5,1
185,135,147,884,302,127,274.5,36,314.5,0
186,197.5,147,1360,302,170,274.5,31,314.5,1
187,135,25,5129,302,127,155.5,74,74.5,0
188,135,147,1175,302,31.5,274.5,68,11.5,1
189,137.5,265.5,674,52,87.5,46.5,20,314.5,0
190,135,20.5,3244,302,170,155.5,33,314.5,1
191,197.5,265.5,4591,24.5,170,274.5,54,74.5,0
192,135,20.5,3844,52,87.5,274.5,34,101.5,0
193,135,265.5,3915,302,170,274.5,36,314.5,0
194,197.5,265.5,2108,302,87.5,46.5,29,314.5,1
195,135,265.5,3031,52,170,274.5,21,314.5,0
196,135,147,1501,302,127,155.5,34,74.5,0
197,197.5,147,1382,302,170,155.5,28,314.5,1
198,135,265.5,951,52,86.5,155.5,27,314.5,0
199,135,265.5,2760,92,127,274.5,36,314.5,1
200,135,44.5,4297,302,127,25.5,40,74.5,0
201,197.5,147,936,32,127,274.5,52,314.5,1
202,137.5,265.5,1168,302,170,46.5,27,101.5,1
203,197.5,44.5,5117,302,87.5,274.5,26,314.5,1
204,137.5,265.5,902,302,87.5,46.5,21,314.5,0
205,197.5,147,1495,302,127,274.5,38,101.5,1
206,137.5,147,10623,302,127,274.5,38,74.5,1
207,197.5,147,1935,302,127,274.5,43,314.5,1
208,135,147,1424,302,87.5,274.5,26,314.5,1
209,137.5,265.5,6568,302,170,46.5,21,101.5,1
210,197.5,265.5,1413,24.5,87.5,274.5,55,314.5,1
211,197.5,147,3074,92,170,274.5,33,314.5,1
212,197.5,265.5,3835,92,127,155.5,45,101.5,1
213,137.5,20.5,5293,302,31.5,274.5,50,314.5,0
214,32,44.5,1908,302,127,274.5,66,74.5,0
215,197.5,147,3342,92,127,274.5,51,314.5,1
216,135,147,932,92,87.5,155.5,39,101.5,1
217,137.5,20.5,3104,302,87.5,274.5,31,314.5,1
218,32,265.5,3913,302,170,274.5,23,314.5,1
219,137.5,265.5,3021,302,170,25.5,24,101.5,1
220,197.5,265.5,1364,302,170,155.5,64,314.5,1
221,135,265.5,625,302,86.5,46.5,26,101.5,1
222,137.5,265.5,1200,92,170,155.5,23,314.5,1
223,197.5,265.5,707,302,170,274.5,30,314.5,1
224,197.5,44.5,2978,92,170,274.5,32,314.5,1
225,197.5,265.5,4657,302,170,274.5,30,314.5,1
226,197.5,20.5,2613,302,170,274.5,27,314.5,1
227,135,265.5,10961,24.5,87.5,274.5,27,314.5,0
228,137.5,265.5,7865,302,127,274.5,53,74.5,0
229,197.5,265.5,1478,302,87.5,274.5,22,314.5,0
230,137.5,265.5,3149,302,86.5,274.5,22,314.5,1
231,32,265.5,4210,302,170,274.5,26,314.5,0
232,197.5,265.5,2507,32,127,274.5,51,101.5,1
233,197.5,265.5,2141,52,87.5,274.5,35,314.5,1
234,135,265.5,866,302,170,46.5,25,101.5,1
235,197.5,147,1544,302,87.5,274.5,42,101.5,1
236,137.5,265.5,1823,302,31.5,274.5,30,74.5,0
237,135,265.5,14555,92,31.5,274.5,23,11.5,0
238,135,265.5,2767,52,127,25.5,61,101.5,0
239,197.5,147,1291,302,170,155.5,35,314.5,1
240,137.5,265.5,2522,302,127,274.5,39,314.5,1
241,137.5,265.5,915,92,127,155.5,29,314.5,0
242,197.5,265.5,1595,302,87.5,274.5,51,314.5,1
243,137.5,20.5,4605,302,127,274.5,24,314.5,0
244,197.5,147,1185,302,170,155.5,27,314.5,1
245,197.5,25,3447,32,170,155.5,35,101.5,1
246,197.5,265.5,1258,302,87.5,274.5,25,314.5,1
247,197.5,147,717,302,127,274.5,52,314.5,1
248,197.5,20.5,1204,52,170,274.5,35,314.5,1
249,32,265.5,1925,302,170,274.5,26,314.5,1
250,197.5,265.5,433,302,31.5,155.5,22,314.5,0
251,137.5,147,666,24.5,87.5,155.5,39,101.5,1
252,32,265.5,2251,302,170,155.5,46,101.5,1
253,135,265.5,2150,302,170,155.5,24,314.5,0
254,197.5,44.5,4151,52,170,274.5,35,314.5,1
255,135,265.5,2030,92,87.5,274.5,24,314.5,1
256,135,44.5,7418,92,170,274.5,27,101.5,1
257,197.5,147,2684,302,170,274.5,35,101.5,1
258,137.5,25,2149,302,170,25.5,29,314.5,0
259,197.5,265.5,3812,52,86.5,155.5,23,314.5,1
260,197.5,147,1154,52,31.5,155.5,57,101.5,1
261,137.5,265.5,1657,302,170,274.5,27,314.5,1
262,137.5,265.5,1603,302,127,155.5,55,314.5,1
263,137.5,147,5302,302,127,274.5,36,74.5,1
264,197.5,147,2748,302,127,155.5,57,101.5,1
265,197.5,147,1231,302,127,274.5,32,101.5,1
266,135,265.5,802,302,127,274.5,37,314.5,0
267,197.5,147,6304,92,127,274.5,36,314.5,1
268,197.5,265.5,1533,302,86.5,155.5,38,314.5,1
269,137.5,265.5,8978,302,127,25.5,45,74.5,0
270,197.5,265.5,999,92,127,274.5,25,314.5,1
271,197.5,265.5,2662,92,87.5,274.5,32,314.5,1
272,197.5,147,1402,32,87.5,155.5,37,314.5,1
273,135,25,12169,92,31.5,274.5,36,74.5,1
274,135,265.5,3060,302,87.5,274.5,28,314.5,0
275,137.5,265.5,11998,302,86.5,25.5,34,101.5,0
276,197.5,265.5,2697,302,170,274.5,32,314.5,1
277,197.5,147,2404,302,170,155.5,26,314.5,1
278,137.5,265.5,1262,92,127,25.5,49,101.5,1
279,197.5,265.5,4611,302,86.5,155.5,32,314.5,0
280,197.5,265.5,1901,52,170,274.5,29,74.5,1
281,197.5,147,3368,24.5,127,274.5,23,314.5,1
282,197.5,265.5,1574,302,170,274.5,50,314.5,1
283,32,25,1445,92,87.5,274.5,49,101.5,1
284,197.5,147,1520,92,127,274.5,63,314.5,1
285,135,147,3878,52,86.5,25.5,37,314.5,1
286,137.5,265.5,10722,302,86.5,155.5,35,101.5,1
287,137.5,265.5,4788,302,87.5,274.5,26,314.5,1
288,135,44.5,7582,52,31.5,274.5,31,74.5,1
289,135,265.5,1092,302,170,155.5,49,314.5,1
290,137.5,44.5,1024,302,86.5,46.5,48,314.5,0
291,197.5,265.5,1076,302,170,46.5,26,314.5,1
292,135,265.5,9398,302,86.5,46.5,28,74.5,0
293,137.5,147,6419,302,127,155.5,44,74.5,1
294,32,147,4796,302,127,274.5,56,314.5,1
295,197.5,147,7629,92,127,25.5,46,74.5,1
296,135,265.5,9960,302,86.5,155.5,26,314.5,0
297,197.5,265.5,4675,92,86.5,155.5,20,314.5,1
298,197.5,265.5,1287,92,127,274.5,45,101.5,1
299,197.5,265.5,2515,302,170,274.5,43,314.5,1
300,135,147,2745,24.5,87.5,274.5,32,314.5,1
301,197.5,265.5,672,302,31.5,155.5,54,11.5,1
302,135,20.5,3804,302,170,155.5,42,314.5,0
303,32,147,1344,92,87.5,274.5,37,101.5,0
304,137.5,147,1038,302,87.5,274.5,49,314.5,1
305,197.5,147,10127,32,170,274.5,44,314.5,0
306,197.5,265.5,1543,24.5,170,25.5,33,314.5,1
307,197.5,265.5,4811,92,87.5,155.5,24,101.5,1
308,137.5,265.5,727,52,86.5,46.5,33,101.5,0
309,135,265.5,1237,302,170,155.5,24,314.5,0
310,135,265.5,276,302,170,46.5,22,101.5,1
311,135,265.5,5381,92,31.5,274.5,40,11.5,1
312,197.5,265.5,5511,52,170,274.5,25,314.5,1
313,32,265.5,3749,302,86.5,155.5,26,314.5,1
314,135,265.5,685,302,87.5,46.5,25,101.5,0
315,32,265.5,1494,92,86.5,274.5,29,101.5,1
316,137.5,25,2746,302,127,274.5,31,314.5,0
317,137.5,265.5,708,302,170,274.5,38,101.5,1
318,135,265.5,4351,92,170,155.5,48,101.5,1
319,197.5,147,701,302,170,274.5,32,314.5,1
320,137.5,44.5,3643,302,127,155.5,27,101.5,1
321,135,147,4249,302,31.5,46.5,28,74.5,0
322,137.5,265.5,1938,302,86.5,25.5,32,314.5,0
323,137.5,265.5,2910,302,87.5,274.5,34,74.5,1
324,137.5,265.5,2659,24.5,170,274.5,28,314.5,1
325,197.5,147,1028,302,170,155.5,36,314.5,1
326,137.5,147,3398,302,87.5,274.5,39,101.5,1
327,197.5,147,5801,92,127,274.5,49,314.5,1
328,197.5,265.5,1525,24.5,87.5,155.5,34,314.5,1
329,32,265.5,4473,302,127,274.5,31,314.5,1
330,135,265.5,1068,302,127,274.5,28,314.5,1
331,137.5,147,6615,302,31.5,274.5,75,74.5,1
332,197.5,147,1864,52,170,155.5,30,314.5,0
333,135,265.5,7408,52,86.5,155.5,24,74.5,0
334,197.5,147,11590,52,170,155.5,24,101.5,0
335,137.5,20.5,4110,302,127,274.5,23,314.5,0
336,137.5,147,3384,302,170,25.5,44,74.5,0
337,135,265.5,2101,302,86.5,155.5,23,101.5,1
338,137.5,265.5,1275,92,170,155.5,24,314.5,0
339,137.5,265.5,4169,302,170,274.5,28,314.5,1
340,135,265.5,1521,302,170,25.5,31,101.5,1
341,135,147,5743,302,86.5,155.5,24,314.5,1
342,137.5,265.5,3599,302,87.5,155.5,26,101.5,1
343,135,265.5,3213,32,86.5,46.5,25,314.5,1
344,135,265.5,4439,302,127,274.5,33,74.5,1
345,32,265.5,3949,302,86.5,274.5,37,101.5,1
346,197.5,147,1459,302,170,155.5,43,101.5,1
347,135,147,882,302,86.5,274.5,23,314.5,1
348,135,265.5,3758,32,31.5,155.5,23,11.5,1
349,197.5,44.5,1743,52,170,274.5,34,101.5,1
350,135,147,1136,24.5,127,274.5,32,314.5,0
351,197.5,265.5,1236,302,86.5,155.5,23,314.5,1
352,135,265.5,959,302,170,155.5,29,314.5,0
353,197.5,147,3229,92,31.5,274.5,38,74.5,1
354,137.5,20.5,6199,302,170,274.5,28,314.5,0
355,197.5,265.5,727,32,127,274.5,46,314.5,1
356,135,265.5,1246,302,86.5,274.5,23,101.5,0
357,197.5,147,2331,92,127,274.5,49,314.5,1
358,197.5,44.5,4463,302,170,274.5,26,74.5,0
359,197.5,265.5,776,302,170,46.5,28,314.5,1
360,137.5,265.5,2406,302,87.5,155.5,23,314.5,0
361,135,265.5,1239,92,170,274.5,61,314.5,1
362,32,265.5,3399,92,127,274.5,37,74.5,1
363,32,44.5,2247,302,170,155.5,36,314.5,1
364,197.5,265.5,1766,302,170,46.5,21,314.5,1
365,137.5,265.5,2473,302,31.5,274.5,25,11.5,0
366,197.5,265.5,1542,302,87.5,274.5,36,314.5,1
367,197.5,147,3850,302,87.5,274.5,27,314.5,1
368,137.5,265.5,3650,302,86.5,155.5,22,314.5,1
369,137.5,265.5,3446,302,127,274.5,42,314.5,0
370,135,265.5,3001,302,87.5,155.5,40,314.5,1
371,197.5,265.5,3079,92,170,274.5,36,314.5,1
372,197.5,147,6070,302,127,274.5,33,314.5,1
373,197.5,147,2146,302,86.5,155.5,23,314.5,1
374,197.5,147,13756,92,127,274.5,63,74.5,1
375,135,25,14782,52,127,155.5,60,74.5,0
376,137.5,25,7685,302,87.5,155.5,37,314.5,0
377,197.5,44.5,2320,302,31.5,46.5,34,314.5,1
378,197.5,44.5,846,92,127,274.5,36,314.5,1
379,135,265.5,14318,302,127,274.5,57,74.5,0
380,197.5,147,362,52,170,155.5,52,101.5,1
381,137.5,265.5,2212,92,87.5,274.5,39,314.5,1
382,135,265.5,12976,302,31.5,155.5,38,74.5,0
383,197.5,265.5,1283,92,87.5,155.5,25,314.5,1
384,32,265.5,1330,302,86.5,274.5,26,314.5,1
385,197.5,44.5,4272,52,170,274.5,26,101.5,1
386,197.5,147,2238,302,170,155.5,25,314.5,1
387,197.5,265.5,1126,92,86.5,155.5,21,314.5,1
388,135,147,7374,302,31.5,274.5,40,74.5,1
389,135,147,2326,32,170,274.5,27,314.5,1
390,197.5,265.5,1449,302,87.5,155.5,27,314.5,1
391,197.5,265.5,1820,302,170,46.5,30,74.5,1
392,135,265.5,983,24.5,86.5,155.5,19,101.5,1
393,137.5,265.5,3249,302,87.5,274.5,39,74.5,1
394,137.5,147,1957,302,87.5,155.5,31,314.5,1
395,197.5,147,2406,302,31.5,274.5,31,74.5,1
396,135,44.5,11760,52,87.5,274.5,32,314.5,1
397,137.5,265.5,2578,302,31.5,155.5,55,74.5,1
398,137.5,147,2348,302,170,46.5,46,314.5,1
399,135,265.5,1223,302,127,25.5,46,314.5,0
400,197.5,147,1516,24.5,170,155.5,43,101.5,1
401,197.5,265.5,1473,302,86.5,46.5,39,314.5,1
402,135,147,1887,92,170,46.5,28,314.5,1
403,197.5,44.5,8648,302,86.5,274.5,27,314.5,0
404,197.5,44.5,802,302,170,274.5,27,101.5,1
405,135,44.5,2899,92,127,274.5,43,314.5,1
406,135,265.5,2039,302,86.5,46.5,22,314.5,0
407,197.5,147,2197,92,87.5,274.5,43,314.5,1
408,137.5,265.5,1053,302,86.5,46.5,27,314.5,1
409,197.5,265.5,3235,32,127,25.5,26,74.5,1
410,32,147,939,32,87.5,46.5,28,314.5,0
411,135,265.5,1967,302,127,155.5,20,314.5,1
412,197.5,147,7253,302,87.5,274.5,35,74.5,1
413,197.5,147,2292,302,31.5,274.5,42,74.5,0
414,197.5,265.5,1597,32,170,274.5,40,101.5,1
415,137.5,265.5,1381,92,170,155.5,35,314.5,0
416,197.5,147,5842,302,127,274.5,35,314.5,1
417,137.5,265.5,2579,302,86.5,274.5,33,101.5,0
418,137.5,44.5,8471,92,170,155.5,23,314.5,1
419,197.5,265.5,2782,32,87.5,155.5,31,74.5,1
420,135,265.5,1042,92,170,155.5,33,314.5,0
421,197.5,265.5,3186,24.5,87.5,155.5,20,314.5,1
422,135,265.5,2028,92,170,274.5,30,314.5,1
423,135,147,958,302,87.5,274.5,47,101.5,1
424,197.5,44.5,1591,52,87.5,274.5,34,74.5,1
425,135,265.5,2762,92,127,155.5,25,314.5,0
426,135,265.5,2779,302,170,46.5,21,314.5,1
427,197.5,147,2743,302,127,274.5,29,314.5,1
428,197.5,147,1149,24.5,170,274.5,46,314.5,1
429,197.5,265.5,1313,302,127,274.5,20,314.5,1
430,137.5,147,1190,302,31.5,155.5,55,11.5,0
431,197.5,265.5,3448,302,87.5,274.5,74,101.5,1
432,135,265.5,1328,302,170,274.5,29,74.5,0
433,137.5,147,1872,302,31.5,274.5,36,74.5,1
434,197.5,147,2058,302,170,25.5,33,314.5,1
435,137.5,265.5,2136,302,170,274.5,25,314.5,1
436,135,265.5,1484,92,170,46.5,25,314.5,0
437,197.5,265.5,660,32,87.5,46.5,23,101.5,1
438,197.5,147,1287,24.5,127,155.5,37,314.5,1
439,137.5,147,3394,302,31.5,274.5,65,11.5,1
440,32,25,609,302,86.5,155.5,26,11.5,0
441,197.5,265.5,1884,302,127,274.5,39,74.5,1
442,137.5,265.5,1620,302,170,155.5,30,314.5,1
443,135,44.5,2629,302,170,274.5,29,314.5,1
444,197.5,265.5,7190,302,127,274.5,41,101.5,0
445,135,147,5096,302,170,155.5,30,74.5,0
446,197.5,147,1244,92,127,155.5,41,101.5,1
447,137.5,265.5,1842,302,86.5,155.5,34,314.5,0
448,135,265.5,2576,302,170,274.5,35,314.5,1
449,32,265.5,1424,92,127,155.5,55,74.5,1
450,135,44.5,1512,24.5,170,46.5,61,314.5,0
451,197.5,147,11054,92,170,274.5,30,74.5,1
452,197.5,265.5,5180,302,170,155.5,29,314.5,1
453,197.5,20.5,2759,302,127,274.5,34,314.5,1
454,197.5,265.5,2670,302,127,274.5,35,74.5,1
455,137.5,265.5,4817,302,87.5,274.5,31,314.5,0
456,197.5,265.5,2679,302,86.5,155.5,29,74.5,1
457,137.5,147,3905,302,170,274.5,36,314.5,1
458,137.5,265.5,3386,302,127,274.5,35,314.5,0
459,137.5,265.5,343,302,86.5,155.5,27,314.5,1
460,197.5,265.5,4594,302,86.5,274.5,32,314.5,1
461,137.5,265.5,3620,302,170,274.5,37,314.5,1
462,137.5,265.5,1721,302,86.5,274.5,36,314.5,1
463,135,265.5,3017,302,86.5,155.5,34,74.5,1
464,135,265.5,754,92,127,274.5,38,314.5,1
465,197.5,265.5,1950,302,87.5,274.5,34,314.5,1
466,137.5,265.5,2924,302,170,274.5,63,314.5,1
467,137.5,44.5,1659,302,86.5,155.5,29,101.5,0
468,197.5,44.5,7238,92,127,274.5,32,314.5,1
469,197.5,44.5,2764,302,170,155.5,26,314.5,1
470,197.5,44.5,4679,302,87.5,274.5,35,101.5,1
471,135,265.5,3092,52,86.5,46.5,22,314.5,0
472,137.5,265.5,448,302,86.5,155.5,23,314.5,0
473,137.5,265.5,654,302,170,274.5,28,101.5,0
474,197.5,265.5,1238,92,31.5,274.5,36,74.5,1
475,135,147,1245,302,170,46.5,33,314.5,0
476,137.5,20.5,3114,302,86.5,155.5,26,314.5,0
477,197.5,265.5,2569,32,170,274.5,24,314.5,1
478,32,265.5,5152,302,87.5,274.5,25,314.5,1
479,135,265.5,1037,52,87.5,274.5,39,101.5,1
480,137.5,147,1478,302,127,274.5,44,314.5,1
481,135,147,3573,302,170,155.5,23,101.5,1
482,135,265.5,1201,302,86.5,274.5,26,314.5,1
483,137.5,265.5,3622,24.5,127,155.5,57,314.5,1
484,197.5,44.5,960,24.5,87.5,155.5,30,314.5,1
485,197.5,147,1163,32,170,274.5,44,314.5,1
486,135,44.5,1209,302,31.5,274.5,47,74.5,0
487,197.5,265.5,3077,302,170,274.5,52,314.5,1
488,197.5,265.5,3757,302,127,155.5,62,314.5,1
