@relation credit-g-attr10cleanednominalbinary

@attribute Case numeric
@attribute Checking_status numeric
@attribute Credit_history numeric
@attribute Credit_amount numeric
@attribute Saving_status numeric
@attribute Employment numeric
@attribute Personal_status numeric
@attribute Age numeric
@attribute Class numeric

@data
167,0,1,1131,1,0,0,33,0
168,1,1,1577,1,1,0,20,1
169,0,1,3972,1,1,0,25,1
170,1,0,1935,1,1,1,31,0
171,0,1,950,1,1,1,33,0
172,0,1,763,1,1,0,26,1
173,1,0,2064,1,0,0,34,0
174,1,1,1414,1,1,1,33,1
175,0,0,3414,1,1,1,26,0
176,0,1,7485,0,0,0,53,0
177,0,1,2577,1,1,1,42,1
178,0,0,338,1,1,1,52,1
179,0,1,1963,1,1,1,31,1
180,0,0,571,1,1,1,65,1
181,0,0,9572,1,1,1,28,0
182,1,0,4455,1,1,1,30,0
183,0,1,1647,0,1,1,40,0
184,0,0,3777,1,1,1,50,1
185,1,0,884,1,1,1,36,0
186,0,0,1360,1,1,1,31,1
187,1,1,5129,1,1,0,74,0
188,1,0,1175,1,0,1,68,1
189,0,1,674,1,1,1,20,0
190,1,1,3244,1,1,0,33,1
191,0,1,4591,1,1,1,54,0
192,1,1,3844,1,1,1,34,0
193,1,1,3915,1,1,1,36,0
194,0,1,2108,1,1,1,29,1
195,1,1,3031,1,1,1,21,0
196,1,0,1501,1,1,0,34,0
197,0,0,1382,1,1,0,28,1
198,1,1,951,1,1,0,27,0
199,1,1,2760,0,1,1,36,1
200,1,0,4297,1,1,1,40,0
201,0,0,936,1,1,1,52,1
202,0,1,1168,1,1,1,27,1
203,0,0,5117,1,1,1,26,1
204,0,1,902,1,1,1,21,0
205,0,0,1495,1,1,1,38,1
206,0,0,10623,1,1,1,38,1
207,0,0,1935,1,1,1,43,1
208,1,0,1424,1,1,1,26,1
209,0,1,6568,1,1,1,21,1
210,0,1,1413,1,1,1,55,1
211,0,0,3074,0,1,1,33,1
212,0,1,3835,0,1,0,45,1
213,0,1,5293,1,0,1,50,0
214,1,0,1908,1,1,1,66,0
215,0,0,3342,0,1,1,51,1
216,1,0,932,0,1,0,39,1
217,0,1,3104,1,1,1,31,1
218,1,1,3913,1,1,1,23,1
219,0,1,3021,1,1,1,24,1
220,0,1,1364,1,1,0,64,1
221,1,1,625,1,1,1,26,1
222,0,1,1200,0,1,0,23,1
223,0,1,707,1,1,1,30,1
224,0,0,2978,0,1,1,32,1
225,0,1,4657,1,1,1,30,1
226,0,1,2613,1,1,1,27,1
227,1,1,10961,1,1,1,27,0
228,0,1,7865,1,1,1,53,0
229,0,1,1478,1,1,1,22,0
230,0,1,3149,1,1,1,22,1
231,1,1,4210,1,1,1,26,0
232,0,1,2507,1,1,1,51,1
233,0,1,2141,1,1,1,35,1
234,1,1,866,1,1,1,25,1
235,0,0,1544,1,1,1,42,1
236,0,1,1823,1,0,1,30,0
237,1,1,14555,0,0,1,23,0
238,1,1,2767,1,1,1,61,0
239,0,0,1291,1,1,0,35,1
240,0,1,2522,1,1,1,39,1
241,0,1,915,0,1,0,29,0
242,0,1,1595,1,1,1,51,1
243,0,1,4605,1,1,1,24,0
244,0,0,1185,1,1,0,27,1
245,0,1,3447,1,1,0,35,1
246,0,1,1258,1,1,1,25,1
247,0,0,717,1,1,1,52,1
248,0,1,1204,1,1,1,35,1
249,1,1,1925,1,1,1,26,1
250,0,1,433,1,0,0,22,0
251,0,0,666,1,1,0,39,1
252,1,1,2251,1,1,0,46,1
253,1,1,2150,1,1,0,24,0
254,0,0,4151,1,1,1,35,1
255,1,1,2030,0,1,1,24,1
256,1,0,7418,0,1,1,27,1
257,0,0,2684,1,1,1,35,1
258,0,1,2149,1,1,1,29,0
259,0,1,3812,1,1,0,23,1
260,0,0,1154,1,0,0,57,1
261,0,1,1657,1,1,1,27,1
262,0,1,1603,1,1,0,55,1
263,0,0,5302,1,1,1,36,1
264,0,0,2748,1,1,0,57,1
265,0,0,1231,1,1,1,32,1
266,1,1,802,1,1,1,37,0
267,0,0,6304,0,1,1,36,1
268,0,1,1533,1,1,0,38,1
269,0,1,8978,1,1,1,45,0
270,0,1,999,0,1,1,25,1
271,0,1,2662,0,1,1,32,1
272,0,0,1402,1,1,0,37,1
273,1,1,12169,0,0,1,36,1
274,1,1,3060,1,1,1,28,0
275,0,1,11998,1,1,1,34,0
276,0,1,2697,1,1,1,32,1
277,0,0,2404,1,1,0,26,1
278,0,1,1262,0,1,1,49,1
279,0,1,4611,1,1,0,32,0
280,0,1,1901,1,1,1,29,1
281,0,0,3368,1,1,1,23,1
282,0,1,1574,1,1,1,50,1
283,1,1,1445,0,1,1,49,1
284,0,0,1520,0,1,1,63,1
285,1,0,3878,1,1,1,37,1
286,0,1,10722,1,1,0,35,1
287,0,1,4788,1,1,1,26,1
288,1,0,7582,1,0,1,31,1
289,1,1,1092,1,1,0,49,1
290,0,0,1024,1,1,1,48,0
291,0,1,1076,1,1,1,26,1
292,1,1,9398,1,1,1,28,0
293,0,0,6419,1,1,0,44,1
294,1,0,4796,1,1,1,56,1
295,0,0,7629,0,1,1,46,1
296,1,1,9960,1,1,0,26,0
297,0,1,4675,0,1,0,20,1
298,0,1,1287,0,1,1,45,1
299,0,1,2515,1,1,1,43,1
300,1,0,2745,1,1,1,32,1
301,0,1,672,1,0,0,54,1
302,1,1,3804,1,1,0,42,0
303,1,0,1344,0,1,1,37,0
304,0,0,1038,1,1,1,49,1
305,0,0,10127,1,1,1,44,0
306,0,1,1543,1,1,1,33,1
307,0,1,4811,0,1,0,24,1
308,0,1,727,1,1,1,33,0
309,1,1,1237,1,1,0,24,0
310,1,1,276,1,1,1,22,1
311,1,1,5381,0,0,1,40,1
312,0,1,5511,1,1,1,25,1
313,1,1,3749,1,1,0,26,1
314,1,1,685,1,1,1,25,0
315,1,1,1494,0,1,1,29,1
316,0,1,2746,1,1,1,31,0
317,0,1,708,1,1,1,38,1
318,1,1,4351,0,1,0,48,1
319,0,0,701,1,1,1,32,1
320,0,0,3643,1,1,0,27,1
321,1,0,4249,1,0,1,28,0
322,0,1,1938,1,1,1,32,0
323,0,1,2910,1,1,1,34,1
324,0,1,2659,1,1,1,28,1
325,0,0,1028,1,1,0,36,1
326,0,0,3398,1,1,1,39,1
327,0,0,5801,0,1,1,49,1
328,0,1,1525,1,1,0,34,1
329,1,1,4473,1,1,1,31,1
330,1,1,1068,1,1,1,28,1
331,0,0,6615,1,0,1,75,1
332,0,0,1864,1,1,0,30,0
333,1,1,7408,1,1,0,24,0
334,0,0,11590,1,1,0,24,0
335,0,1,4110,1,1,1,23,0
336,0,0,3384,1,1,1,44,0
337,1,1,2101,1,1,0,23,1
338,0,1,1275,0,1,0,24,0
339,0,1,4169,1,1,1,28,1
340,1,1,1521,1,1,1,31,1
341,1,0,5743,1,1,0,24,1
342,0,1,3599,1,1,0,26,1
343,1,1,3213,1,1,1,25,1
344,1,1,4439,1,1,1,33,1
345,1,1,3949,1,1,1,37,1
346,0,0,1459,1,1,0,43,1
347,1,0,882,1,1,1,23,1
348,1,1,3758,1,0,0,23,1
349,0,0,1743,1,1,1,34,1
350,1,0,1136,1,1,1,32,0
351,0,1,1236,1,1,0,23,1
352,1,1,959,1,1,0,29,0
353,0,0,3229,0,0,1,38,1
354,0,1,6199,1,1,1,28,0
355,0,1,727,1,1,1,46,1
356,1,1,1246,1,1,1,23,0
357,0,0,2331,0,1,1,49,1
358,0,0,4463,1,1,1,26,0
359,0,1,776,1,1,1,28,1
360,0,1,2406,1,1,0,23,0
361,1,1,1239,0,1,1,61,1
362,1,1,3399,0,1,1,37,1
363,1,0,2247,1,1,0,36,1
364,0,1,1766,1,1,1,21,1
365,0,1,2473,1,0,1,25,0
366,0,1,1542,1,1,1,36,1
367,0,0,3850,1,1,1,27,1
368,0,1,3650,1,1,0,22,1
369,0,1,3446,1,1,1,42,0
370,1,1,3001,1,1,0,40,1
371,0,1,3079,0,1,1,36,1
372,0,0,6070,1,1,1,33,1
373,0,0,2146,1,1,0,23,1
374,0,0,13756,0,1,1,63,1
375,1,1,14782,1,1,0,60,0
376,0,1,7685,1,1,0,37,0
377,0,0,2320,1,0,1,34,1
378,0,0,846,0,1,1,36,1
379,1,1,14318,1,1,1,57,0
380,0,0,362,1,1,0,52,1
381,0,1,2212,0,1,1,39,1
382,1,1,12976,1,0,0,38,0
383,0,1,1283,0,1,0,25,1
384,1,1,1330,1,1,1,26,1
385,0,0,4272,1,1,1,26,1
386,0,0,2238,1,1,0,25,1
387,0,1,1126,0,1,0,21,1
388,1,0,7374,1,0,1,40,1
389,1,0,2326,1,1,1,27,1
390,0,1,1449,1,1,0,27,1
391,0,1,1820,1,1,1,30,1
392,1,1,983,1,1,0,19,1
393,0,1,3249,1,1,1,39,1
394,0,0,1957,1,1,0,31,1
395,0,0,2406,1,0,1,31,1
396,1,0,11760,1,1,1,32,1
397,0,1,2578,1,0,0,55,1
398,0,0,2348,1,1,1,46,1
399,1,1,1223,1,1,1,46,0
400,0,0,1516,1,1,0,43,1
401,0,1,1473,1,1,1,39,1
402,1,0,1887,0,1,1,28,1
403,0,0,8648,1,1,1,27,0
404,0,0,802,1,1,1,27,1
405,1,0,2899,0,1,1,43,1
406,1,1,2039,1,1,1,22,0
407,0,0,2197,0,1,1,43,1
408,0,1,1053,1,1,1,27,1
409,0,1,3235,1,1,1,26,1
410,1,0,939,1,1,1,28,0
411,1,1,1967,1,1,0,20,1
412,0,0,7253,1,1,1,35,1
413,0,0,2292,1,0,1,42,0
414,0,1,1597,1,1,1,40,1
415,0,1,1381,0,1,0,35,0
416,0,0,5842,1,1,1,35,1
417,0,1,2579,1,1,1,33,0
418,0,0,8471,0,1,0,23,1
419,0,1,2782,1,1,0,31,1
420,1,1,1042,0,1,0,33,0
421,0,1,3186,1,1,0,20,1
422,1,1,2028,0,1,1,30,1
423,1,0,958,1,1,1,47,1
424,0,0,1591,1,1,1,34,1
425,1,1,2762,0,1,0,25,0
426,1,1,2779,1,1,1,21,1
427,0,0,2743,1,1,1,29,1
428,0,0,1149,1,1,1,46,1
429,0,1,1313,1,1,1,20,1
430,0,0,1190,1,0,0,55,0
431,0,1,3448,1,1,1,74,1
432,1,1,1328,1,1,1,29,0
433,0,0,1872,1,0,1,36,1
434,0,0,2058,1,1,1,33,1
435,0,1,2136,1,1,1,25,1
436,1,1,1484,0,1,1,25,0
437,0,1,660,1,1,1,23,1
438,0,0,1287,1,1,0,37,1
439,0,0,3394,1,0,1,65,1
440,1,1,609,1,1,0,26,0
441,0,1,1884,1,1,1,39,1
442,0,1,1620,1,1,0,30,1
443,1,0,2629,1,1,1,29,1
444,0,1,7190,1,1,1,41,0
445,1,0,5096,1,1,0,30,0
446,0,0,1244,0,1,0,41,1
447,0,1,1842,1,1,0,34,0
448,1,1,2576,1,1,1,35,1
449,1,1,1424,0,1,0,55,1
450,1,0,1512,1,1,1,61,0
451,0,0,11054,0,1,1,30,1
452,0,1,5180,1,1,0,29,1
453,0,1,2759,1,1,1,34,1
454,0,1,2670,1,1,1,35,1
455,0,1,4817,1,1,1,31,0
456,0,1,2679,1,1,0,29,1
457,0,0,3905,1,1,1,36,1
458,0,1,3386,1,1,1,35,0
459,0,1,343,1,1,0,27,1
460,0,1,4594,1,1,1,32,1
461,0,1,3620,1,1,1,37,1
462,0,1,1721,1,1,1,36,1
463,1,1,3017,1,1,0,34,1
464,1,1,754,0,1,1,38,1
465,0,1,1950,1,1,1,34,1
466,0,1,2924,1,1,1,63,1
467,0,0,1659,1,1,0,29,0
468,0,0,7238,0,1,1,32,1
469,0,0,2764,1,1,0,26,1
470,0,0,4679,1,1,1,35,1
471,1,1,3092,1,1,1,22,0
472,0,1,448,1,1,0,23,0
473,0,1,654,1,1,1,28,0
474,0,1,1238,0,0,1,36,1
475,1,0,1245,1,1,1,33,0
476,0,1,3114,1,1,0,26,0
477,0,1,2569,1,1,1,24,1
478,1,1,5152,1,1,1,25,1
479,1,1,1037,1,1,1,39,1
480,0,0,1478,1,1,1,44,1
481,1,0,3573,1,1,0,23,1
482,1,1,1201,1,1,1,26,1
483,0,1,3622,1,1,0,57,1
484,0,0,960,1,1,0,30,1
485,0,0,1163,1,1,1,44,1
486,1,0,1209,1,0,1,47,0
487,0,1,3077,1,1,1,52,1
488,0,1,3757,1,1,0,62,1
489,0,1,1418,1,1,1,35,1
490,0,1,3518,1,1,1,26,1
491,0,0,1934,1,1,1,26,1
492,1,1,8318,1,1,0,42,0
493,0,0,1237,1,1,0,27,1
494,1,1,368,0,1,1,38,1
495,0,0,2122,1,1,1,39,1
496,0,1,2996,0,1,1,20,0
497,1,1,9034,1,1,1,29,0
498,0,0,1585,1,1,1,40,1
499,1,1,1301,1,1,1,32,1
500,1,0,1323,1,1,1,28,1
501,0,1,3123,1,1,0,27,0
502,0,1,5493,1,1,1,42,1
503,1,1,1126,1,1,1,49,1
504,1,0,1216,1,1,1,38,0
505,0,1,1207,1,1,0,24,0
506,0,1,1309,0,1,1,27,0
507,1,0,2360,1,1,1,36,1
508,1,1,6850,1,0,1,34,0
509,0,1,1413,1,1,1,28,1
510,0,1,8588,1,1,1,45,1
511,0,1,759,1,1,1,26,0
512,0,1,4686,1,1,1,32,1
513,1,1,2687,1,1,1,26,1
514,1,0,5850,1,1,1,20,1
515,0,1,2255,0,1,1,54,1
516,0,0,609,1,1,0,37,1
517,0,0,1361,1,1,1,40,1
518,0,0,7127,1,1,0,23,0
519,0,1,1203,1,1,1,43,1
520,0,0,700,0,1,1,36,1
521,0,0,5507,1,1,1,44,1
522,0,1,3190,1,1,0,24,0
523,0,1,7119,1,1,1,53,0
524,0,1,3488,1,1,0,23,1
525,1,1,1113,1,1,0,26,1
526,1,1,7966,1,1,1,30,1
527,0,0,1532,1,1,0,31,1
528,0,0,1503,1,1,1,42,1
529,0,1,2302,1,1,1,31,0
530,0,1,662,1,1,1,41,1
531,1,1,2273,1,1,1,32,1
532,1,1,2631,1,1,0,28,0
533,0,0,1503,1,1,1,41,1
534,0,1,1311,1,1,1,26,1
535,0,1,3105,0,1,1,25,1
536,1,0,2319,1,1,1,33,0
537,0,1,1374,0,0,0,75,1
538,1,0,3612,1,1,0,37,1
539,0,1,7763,1,1,1,42,0
540,1,1,3049,1,1,0,45,1
541,1,1,1534,1,1,1,23,0
542,0,0,2032,1,1,1,60,1
543,0,1,6350,0,1,1,31,0
544,1,1,2864,1,1,1,34,0
545,0,0,1255,1,1,1,61,1
546,0,0,1333,1,0,1,43,0
547,0,0,2022,1,1,0,37,1
548,0,1,1552,1,1,1,32,1
549,0,1,626,1,1,0,24,0
550,0,0,8858,0,1,1,35,1
551,0,0,996,0,1,0,23,1
552,0,1,1750,1,1,1,45,1
553,0,1,6999,1,1,1,34,0
554,1,0,1995,1,1,1,27,1
555,1,1,1199,1,1,0,67,1
556,1,1,1331,1,1,1,22,0
557,1,1,2278,1,1,0,28,0
558,0,1,5003,0,1,0,29,0
559,0,1,3552,1,1,1,27,0
560,1,0,1928,1,1,1,31,0
561,0,1,2964,0,1,1,49,1
562,0,1,1546,1,1,1,24,0
563,1,0,683,1,1,0,29,1
564,1,1,12389,0,1,1,37,0
565,1,0,4712,0,1,1,37,1
566,1,0,1553,1,1,0,23,1
567,0,1,1372,1,1,1,36,0
568,0,0,2578,1,1,1,34,1
569,1,1,3979,0,1,1,41,1
570,0,1,6758,1,1,0,31,0
571,0,1,3234,1,1,0,23,0
572,0,0,5954,1,1,1,38,1
573,0,1,5433,0,0,0,26,1
574,0,1,806,1,1,0,22,1
575,1,1,1082,1,1,1,27,1
576,0,0,2788,1,1,0,24,1
577,1,1,2930,1,1,0,27,1
578,0,0,1927,0,1,0,33,1
579,1,0,2820,1,1,1,27,0
580,0,1,937,1,1,1,27,1
581,1,0,1056,1,1,1,30,0
582,1,0,3124,1,1,1,49,1
583,0,1,1388,1,1,0,26,1
584,1,1,2384,1,1,1,33,0
585,0,1,2133,0,1,0,52,1
586,0,1,2039,1,1,0,20,0
587,0,0,2799,1,1,1,36,1
588,0,1,1289,1,1,1,21,1
589,0,1,1217,1,1,1,47,0
590,0,0,2246,1,1,1,60,0
591,0,0,385,1,1,0,58,1
592,1,0,1965,0,1,0,42,1
593,0,1,1572,1,1,0,36,1
594,1,1,2718,1,1,0,20,0
595,0,1,1358,0,1,1,40,0
596,1,1,931,1,1,0,32,0
597,0,1,1442,1,1,0,23,0
598,1,1,4241,1,1,1,36,0
599,0,0,2775,1,1,1,31,0
600,0,0,3863,1,1,1,32,1
601,1,1,2329,1,1,0,45,1
602,1,1,918,1,1,0,30,0
603,1,1,1837,1,1,0,34,0
604,0,1,3349,1,1,0,28,0
605,1,1,1275,1,1,0,23,1
606,0,1,2828,1,1,1,22,1
607,0,0,4526,1,1,1,74,1
608,1,1,2671,1,1,0,50,0
609,0,1,2051,1,1,1,33,1
610,0,1,1300,0,1,1,45,1
611,0,1,741,1,0,0,22,0
612,1,1,1240,1,1,0,48,0
613,0,1,3357,1,1,0,29,1
614,0,1,3632,1,1,0,22,1
615,0,0,1808,1,1,0,22,0
616,1,1,12204,0,1,1,48,1
617,1,0,9157,0,1,1,27,1
618,0,0,3676,1,1,1,37,1
619,1,1,3441,1,1,0,21,0
620,0,1,640,1,1,1,49,1
621,1,0,3652,1,1,1,27,1
622,0,0,1530,1,1,1,32,0
623,0,1,3914,0,1,1,38,0
624,0,1,1858,1,1,0,22,1
625,0,1,2600,1,1,1,65,0
626,0,1,1979,0,1,1,35,1
627,1,1,2116,1,1,1,41,1
628,1,1,1437,1,1,1,29,0
629,0,0,4042,1,1,1,36,1
630,0,1,3832,0,1,1,64,1
631,0,1,3660,1,1,0,28,1
632,0,1,1553,1,1,1,44,0
633,1,1,1444,0,1,1,23,1
634,0,1,1980,1,1,0,19,0
635,1,1,1355,1,1,0,25,0
636,0,1,1393,1,1,1,47,1
637,0,1,1376,1,1,0,28,1
638,0,0,15653,1,1,1,21,1
639,0,1,1493,1,1,0,34,1
640,0,0,4370,1,1,1,26,0
641,0,1,750,1,0,0,27,0
642,1,1,1308,1,1,1,38,1
643,0,1,4623,1,1,1,40,0
644,0,0,1851,1,1,1,33,1
645,0,0,1880,1,1,1,32,1
646,0,0,7980,0,1,1,27,0
647,0,1,4583,1,1,1,32,1
648,0,1,1386,1,1,0,26,0
649,1,1,947,1,1,1,38,0
650,0,1,684,1,1,1,40,0
651,0,1,7476,1,1,1,50,1
652,1,1,1922,1,1,1,37,0
653,0,1,2303,1,1,1,45,0
654,1,0,8086,1,1,1,42,0
655,0,0,2346,1,1,1,35,1
656,0,1,3973,1,0,1,22,1
657,1,1,888,1,1,1,41,0
658,0,1,10222,0,1,1,37,1
659,1,1,4221,1,1,0,28,1
660,1,0,6361,1,1,1,41,1
661,1,1,1297,1,1,1,23,1
662,0,1,900,0,1,1,23,0
663,0,1,2241,1,1,1,50,1
664,1,0,1050,1,0,1,35,1
665,1,0,1047,1,1,0,50,1
666,0,0,6314,1,0,1,27,1
667,1,1,3496,1,1,1,34,1
668,0,1,3609,1,1,0,27,1
669,0,0,4843,1,1,1,43,0
670,1,0,3017,1,1,1,47,1
671,0,0,4139,1,1,1,27,1
672,0,1,5742,1,1,1,31,1
673,0,1,10366,1,1,1,42,1
674,0,0,2080,1,1,1,24,1
675,0,0,2580,1,1,1,41,0
676,0,0,4530,1,1,0,26,1
677,0,0,5150,1,1,1,33,1
678,1,1,5595,1,1,1,24,0
679,0,1,2384,1,1,1,64,1
680,0,1,1453,1,1,0,26,1
681,0,1,1538,1,1,0,56,1
682,0,1,2279,0,1,1,37,1
683,0,0,1478,1,1,1,33,1
684,0,0,5103,1,1,1,47,1
685,1,0,9857,1,1,1,31,1
686,0,1,6527,0,1,1,34,1
687,1,0,1347,0,1,1,27,1
688,1,0,2862,1,1,1,30,1
689,0,1,2753,1,1,1,35,1
690,0,1,3651,1,1,1,31,1
691,0,0,975,1,1,1,25,1
692,1,1,2631,1,1,0,25,1
693,1,1,2896,1,1,1,29,1
694,0,0,4716,0,1,1,44,1
695,0,1,2284,1,1,1,28,1
696,0,1,1236,1,1,1,50,1
697,1,1,1103,1,1,1,29,1
698,0,0,926,1,0,0,38,1
699,0,0,1800,1,1,1,24,1
700,1,1,1905,1,1,1,40,1
701,0,1,1123,1,1,0,29,0
702,0,0,6331,1,1,1,46,0
703,1,1,1377,1,1,0,47,1
704,1,0,2503,1,1,1,41,1
705,1,1,2528,1,1,0,32,1
706,0,1,5324,1,1,0,35,1
707,1,1,6560,1,1,1,24,0
708,1,1,2969,1,1,0,25,0
709,1,1,1206,1,1,0,25,1
710,1,1,2118,1,1,1,37,1
711,0,0,629,1,1,1,32,1
712,0,1,1198,1,1,0,35,0
713,0,1,2476,0,1,1,46,1
714,0,0,1138,1,1,1,25,1
715,1,1,14027,1,1,1,27,0
716,0,0,7596,0,1,1,63,1
717,0,0,3077,0,1,1,40,1
718,0,1,1505,1,1,1,32,1
719,1,0,3148,0,1,1,31,1
720,1,1,6148,1,1,1,31,1
721,1,1,1337,1,1,1,34,0
722,1,1,433,1,1,0,24,0
723,0,1,1228,1,1,0,24,0
724,1,1,790,1,1,0,66,1
725,0,1,2570,1,1,0,21,0
726,0,0,250,1,1,0,41,1
727,0,0,1316,1,1,1,47,1
