Case,Checking_status,Credit_history,Purpose,Credit_amount,Saving_status,Employment,Personal_status,Age,Job,Class
120,'0<=X<200','critical/other existing credit','new car',medium,'500<=X<1000','4<=X<7','male div/sep',young,'high qualif/self emp/mgmt',good
121,'<0','existing paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
122,'no checking','critical/other existing credit','used car',medium,'<100','>=7','female div/dep/mar',middle aged,'high qualif/self emp/mgmt',good
123,'no checking','existing paid',furniture/equipment,low,'<100','1<=X<4','male single',young,'unskilled resident',good
124,'>=200','critical/other existing credit','new car',low,'<100','>=7','male single',old aged,skilled,good
125,'0<=X<200','existing paid',furniture/equipment,low,'no known savings','<1','female div/dep/mar',young,skilled,bad
126,'<0','critical/other existing credit','new car',medium,'<100','1<=X<4','male single',young,skilled,good
127,'<0','existing paid',radio/tv,low,'<100','1<=X<4','male mar/wid',middle aged,'unskilled resident',good
128,'0<=X<200','existing paid',repairs,low,'<100','1<=X<4','male single',young,skilled,bad
129,'0<=X<200','critical/other existing credit','used car',low,'<100',unemployed,'male single',young,'high qualif/self emp/mgmt',good
130,'<0','critical/other existing credit','new car',medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
131,'0<=X<200','existing paid','new car',medium,'no known savings','4<=X<7','female div/dep/mar',young,skilled,good
132,'<0','delayed previously',education,medium,'<100','1<=X<4','male single',young,skilled,bad
133,'no checking','existing paid',furniture/equipment,medium,'<100','<1','male single',young,'unskilled resident',good
134,'no checking','existing paid',furniture/equipment,low,'<100','1<=X<4','male single',middle aged,skilled,good
135,'no checking','existing paid',radio/tv,high,'100<=X<500','4<=X<7','female div/dep/mar',young,skilled,good
136,'no checking','critical/other existing credit',radio/tv,low,'no known savings','>=7','female div/dep/mar',young,skilled,good
137,'no checking','delayed previously','used car',medium,'>=1000','1<=X<4','male single',young,skilled,good
138,'0<=X<200','existing paid',radio/tv,low,'500<=X<1000','1<=X<4','male single',old aged,'unskilled resident',bad
139,'0<=X<200','critical/other existing credit',radio/tv,medium,'no known savings','4<=X<7','male single',young,skilled,good
140,'>=200','existing paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',middle aged,'unskilled resident',good
141,'>=200','existing paid','new car',low,'>=1000','<1','male mar/wid',young,'unemp/unskilled non res',good
142,'0<=X<200','existing paid',radio/tv,medium,'<100','<1','female div/dep/mar',young,'high qualif/self emp/mgmt',good
143,'<0','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,'high qualif/self emp/mgmt',good
144,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',young,skilled,bad
145,'no checking','critical/other existing credit',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,skilled,good
146,'0<=X<200','all paid',business,medium,'100<=X<500','4<=X<7','male single',young,skilled,good
147,'<0','critical/other existing credit','new car',low,'<100','>=7','female div/dep/mar',young,skilled,good
148,'no checking','critical/other existing credit','new car',low,'100<=X<500','4<=X<7','female div/dep/mar',middle aged,skilled,good
149,'<0','critical/other existing credit',furniture/equipment,medium,'<100','1<=X<4','male single',young,skilled,good
150,'no checking','critical/other existing credit',radio/tv,low,'>=1000','>=7','male single',middle aged,skilled,good
151,'no checking','existing paid',radio/tv,low,'100<=X<500','>=7','male single',middle aged,skilled,good
152,'no checking','existing paid',radio/tv,low,'<100','1<=X<4','male single',young,skilled,good
153,'>=200','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,skilled,good
154,'0<=X<200','critical/other existing credit','used car',medium,'>=1000','>=7','female div/dep/mar',young,skilled,good
155,'0<=X<200','delayed previously',business,medium,'100<=X<500','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
156,'<0','existing paid',furniture/equipment,low,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
157,'<0','critical/other existing credit',repairs,low,'100<=X<500','>=7','male single',middle aged,skilled,good
158,'<0','all paid',retraining,low,'<100','>=7','male mar/wid',middle aged,'unskilled resident',good
159,'0<=X<200','existing paid','new car',medium,'100<=X<500','4<=X<7','male single',young,skilled,good
160,'no checking','critical/other existing credit',radio/tv,low,'no known savings','1<=X<4','male single',young,'unskilled resident',good
161,'no checking','critical/other existing credit',radio/tv,medium,'100<=X<500','>=7','male single',young,skilled,good
162,'no checking','critical/other existing credit','new car',low,'<100','<1','female div/dep/mar',young,skilled,good
163,'no checking','existing paid','domestic appliance',low,'500<=X<1000','4<=X<7','male single',young,skilled,good
164,'0<=X<200','existing paid','new car',medium,'<100',unemployed,'male single',old aged,'high qualif/self emp/mgmt',good
165,'no checking','existing paid','new car',low,'500<=X<1000','>=7','male single',young,skilled,good
166,'no checking','existing paid',furniture/equipment,medium,'500<=X<1000','1<=X<4','male single',young,skilled,good
167,'<0','existing paid',furniture/equipment,low,'<100',unemployed,'female div/dep/mar',young,skilled,bad
168,'0<=X<200','existing paid',furniture/equipment,low,'>=1000','<1','female div/dep/mar',young,skilled,good
169,'no checking','existing paid',furniture/equipment,medium,'<100','4<=X<7','female div/dep/mar',young,skilled,good
170,'0<=X<200','critical/other existing credit',business,low,'<100','>=7','male div/sep',young,skilled,bad
171,'<0','no credits/all paid','new car',low,'<100','>=7','male single',young,skilled,bad
172,'no checking','existing paid',furniture/equipment,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
173,'0<=X<200','delayed previously',furniture/equipment,medium,'<100',unemployed,'female div/dep/mar',young,'high qualif/self emp/mgmt',bad
174,'0<=X<200','existing paid',radio/tv,low,'<100','1<=X<4','male single',young,skilled,good
175,'<0','delayed previously',education,medium,'<100','<1','male single',young,skilled,bad
176,'no checking','all paid','used car',medium,'no known savings',unemployed,'female div/dep/mar',middle aged,'high qualif/self emp/mgmt',bad
177,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','male div/sep',middle aged,skilled,good
178,'<0','critical/other existing credit',radio/tv,low,'500<=X<1000','>=7','male single',middle aged,skilled,good
179,'no checking','existing paid',radio/tv,low,'<100','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
180,'<0','critical/other existing credit','new car',low,'<100','>=7','male single',old aged,skilled,good
181,'no checking','delayed previously',business,high,'<100','<1','male div/sep',young,skilled,bad
182,'0<=X<200','delayed previously',business,medium,'<100','1<=X<4','male div/sep',young,'high qualif/self emp/mgmt',bad
183,'<0','all paid','new car',low,'no known savings','1<=X<4','male single',middle aged,'unskilled resident',bad
184,'no checking','critical/other existing credit',furniture/equipment,medium,'>=1000','1<=X<4','male single',middle aged,skilled,good
185,'0<=X<200','critical/other existing credit','new car',low,'<100','>=7','male single',young,skilled,bad
186,'no checking','critical/other existing credit',radio/tv,low,'<100','1<=X<4','male single',young,skilled,good
187,'0<=X<200','all paid','used car',medium,'<100','>=7','female div/dep/mar',old aged,'high qualif/self emp/mgmt',bad
188,'0<=X<200','critical/other existing credit','new car',low,'<100',unemployed,'male single',old aged,'unemp/unskilled non res',good
189,'<0','existing paid',radio/tv,low,'100<=X<500','4<=X<7','male mar/wid',young,skilled,bad
190,'0<=X<200','no credits/all paid',furniture/equipment,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
191,'no checking','existing paid',business,medium,'>=1000','1<=X<4','male single',middle aged,'high qualif/self emp/mgmt',bad
192,'0<=X<200','no credits/all paid',business,medium,'100<=X<500','4<=X<7','male single',young,'unskilled resident',bad
193,'0<=X<200','existing paid',business,medium,'<100','1<=X<4','male single',young,skilled,bad
194,'no checking','existing paid',radio/tv,medium,'<100','4<=X<7','male mar/wid',young,skilled,good
195,'0<=X<200','existing paid',radio/tv,medium,'100<=X<500','1<=X<4','male single',young,skilled,bad
196,'0<=X<200','critical/other existing credit',education,low,'<100','>=7','female div/dep/mar',young,'high qualif/self emp/mgmt',bad
197,'no checking','critical/other existing credit',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
198,'0<=X<200','existing paid',furniture/equipment,low,'100<=X<500','<1','female div/dep/mar',young,skilled,bad
199,'0<=X<200','existing paid','used car',medium,'no known savings','>=7','male single',young,skilled,good
200,'0<=X<200','delayed previously',furniture/equipment,medium,'<100','>=7','male div/sep',middle aged,'high qualif/self emp/mgmt',bad
201,'no checking','critical/other existing credit',education,low,'500<=X<1000','>=7','male single',middle aged,skilled,good
202,'<0','existing paid','new car',low,'<100','1<=X<4','male mar/wid',young,'unskilled resident',good
203,'no checking','delayed previously',business,medium,'<100','4<=X<7','male single',young,skilled,good
204,'<0','existing paid',retraining,low,'<100','4<=X<7','male mar/wid',young,skilled,bad
205,'no checking','critical/other existing credit','new car',low,'<100','>=7','male single',young,'unskilled resident',good
206,'<0','critical/other existing credit','used car',high,'<100','>=7','male single',young,'high qualif/self emp/mgmt',good
207,'no checking','critical/other existing credit',furniture/equipment,low,'<100','>=7','male single',middle aged,skilled,good
208,'0<=X<200','critical/other existing credit','domestic appliance',low,'<100','4<=X<7','male single',young,skilled,good
209,'<0','existing paid',business,medium,'<100','1<=X<4','male mar/wid',young,'unskilled resident',good
210,'no checking','existing paid','used car',low,'>=1000','4<=X<7','male single',middle aged,skilled,good
211,'no checking','critical/other existing credit',radio/tv,medium,'no known savings','1<=X<4','male single',young,skilled,good
212,'no checking','existing paid',radio/tv,medium,'no known savings','>=7','female div/dep/mar',middle aged,'unskilled resident',good
213,'<0','no credits/all paid',business,medium,'<100',unemployed,'male single',middle aged,skilled,bad
214,'>=200','delayed previously',business,low,'<100','>=7','male single',old aged,'high qualif/self emp/mgmt',bad
215,'no checking','critical/other existing credit',radio/tv,medium,'no known savings','>=7','male single',middle aged,skilled,good
216,'0<=X<200','critical/other existing credit',retraining,low,'no known savings','4<=X<7','female div/dep/mar',young,'unskilled resident',good
217,'<0','no credits/all paid',business,medium,'<100','4<=X<7','male single',young,skilled,good
218,'>=200','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,skilled,good
219,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','male div/sep',young,'unskilled resident',good
220,'no checking','existing paid','new car',low,'<100','1<=X<4','female div/dep/mar',old aged,skilled,good
221,'0<=X<200','existing paid',radio/tv,low,'<100','<1','male mar/wid',young,'unskilled resident',good
222,'<0','existing paid',education,low,'no known savings','1<=X<4','female div/dep/mar',young,skilled,good
223,'no checking','existing paid',radio/tv,low,'<100','1<=X<4','male single',young,skilled,good
224,'no checking','delayed previously',business,medium,'no known savings','1<=X<4','male single',young,skilled,good
225,'no checking','existing paid','used car',medium,'<100','1<=X<4','male single',young,skilled,good
226,'no checking','no credits/all paid',repairs,medium,'<100','1<=X<4','male single',young,skilled,good
227,'0<=X<200','existing paid',radio/tv,high,'>=1000','4<=X<7','male single',young,skilled,bad
228,'<0','existing paid',furniture/equipment,medium,'<100','>=7','male single',middle aged,'high qualif/self emp/mgmt',bad
229,'no checking','existing paid',radio/tv,low,'<100','4<=X<7','male single',young,skilled,bad
230,'<0','existing paid',furniture/equipment,medium,'<100','<1','male single',young,skilled,good
231,'>=200','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,skilled,bad
232,'no checking','existing paid','new car',medium,'500<=X<1000','>=7','male single',middle aged,'unskilled resident',good
233,'no checking','existing paid',radio/tv,medium,'100<=X<500','4<=X<7','male single',young,skilled,good
234,'0<=X<200','existing paid',radio/tv,low,'<100','1<=X<4','male mar/wid',young,'unskilled resident',good
235,'no checking','critical/other existing credit',radio/tv,low,'<100','4<=X<7','male single',middle aged,'unskilled resident',good
236,'<0','existing paid',radio/tv,low,'<100',unemployed,'male single',young,'high qualif/self emp/mgmt',bad
237,'0<=X<200','existing paid','new car',high,'no known savings',unemployed,'male single',young,'unemp/unskilled non res',bad
238,'0<=X<200','existing paid',business,medium,'100<=X<500','>=7','male div/sep',old aged,'unskilled resident',bad
239,'no checking','critical/other existing credit',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
240,'<0','existing paid',radio/tv,medium,'<100','>=7','male single',young,skilled,good
241,'<0','existing paid','new car',low,'no known savings','>=7','female div/dep/mar',young,skilled,bad
242,'no checking','existing paid',radio/tv,low,'<100','4<=X<7','male single',middle aged,skilled,good
243,'<0','no credits/all paid','used car',medium,'<100','>=7','male single',young,skilled,bad
244,'no checking','critical/other existing credit',business,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
245,'no checking','all paid',retraining,medium,'500<=X<1000','1<=X<4','female div/dep/mar',young,'unskilled resident',good
246,'no checking','existing paid',business,low,'<100','4<=X<7','male single',young,skilled,good
247,'no checking','critical/other existing credit',radio/tv,low,'<100','>=7','male single',middle aged,skilled,good
248,'no checking','no credits/all paid','new car',low,'100<=X<500','1<=X<4','male single',young,skilled,good
249,'>=200','existing paid',furniture/equipment,low,'<100','1<=X<4','male single',young,skilled,good
250,'no checking','existing paid',radio/tv,low,'<100',unemployed,'female div/dep/mar',young,skilled,bad
251,'<0','critical/other existing credit','new car',low,'>=1000','4<=X<7','female div/dep/mar',young,'unskilled resident',good
252,'>=200','existing paid',furniture/equipment,medium,'<100','1<=X<4','female div/dep/mar',middle aged,'unskilled resident',good
253,'0<=X<200','existing paid','new car',medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
254,'no checking','delayed previously',furniture/equipment,medium,'100<=X<500','1<=X<4','male single',young,skilled,good
255,'0<=X<200','existing paid',furniture/equipment,medium,'no known savings','4<=X<7','male single',young,skilled,good
256,'0<=X<200','delayed previously',radio/tv,medium,'no known savings','1<=X<4','male single',young,'unskilled resident',good
257,'no checking','critical/other existing credit',radio/tv,medium,'<100','1<=X<4','male single',young,'unskilled resident',good
258,'<0','all paid',radio/tv,medium,'<100','1<=X<4','male div/sep',young,skilled,bad
259,'no checking','existing paid','used car',medium,'100<=X<500','<1','female div/dep/mar',young,skilled,good
260,'no checking','critical/other existing credit',radio/tv,low,'100<=X<500',unemployed,'female div/dep/mar',middle aged,'unskilled resident',good
261,'<0','existing paid',furniture/equipment,low,'<100','1<=X<4','male single',young,skilled,good
262,'<0','existing paid',radio/tv,low,'<100','>=7','female div/dep/mar',middle aged,skilled,good
263,'<0','critical/other existing credit','new car',medium,'<100','>=7','male single',young,'high qualif/self emp/mgmt',good
264,'no checking','critical/other existing credit',education,medium,'<100','>=7','female div/dep/mar',middle aged,'unskilled resident',good
265,'no checking','critical/other existing credit','new car',low,'<100','>=7','male single',young,'unskilled resident',good
266,'0<=X<200','existing paid',radio/tv,low,'<100','>=7','male single',young,skilled,bad
267,'no checking','critical/other existing credit',business,medium,'no known savings','>=7','male single',young,skilled,good
268,'no checking','existing paid',radio/tv,low,'<100','<1','female div/dep/mar',young,skilled,good
269,'<0','existing paid','new car',medium,'<100','>=7','male div/sep',middle aged,'high qualif/self emp/mgmt',bad
270,'no checking','existing paid',radio/tv,low,'no known savings','>=7','male single',young,skilled,good
271,'no checking','existing paid','new car',medium,'no known savings','4<=X<7','male single',young,skilled,good
272,'no checking','critical/other existing credit',furniture/equipment,low,'500<=X<1000','4<=X<7','female div/dep/mar',young,skilled,good
273,'0<=X<200','all paid','new car',high,'no known savings',unemployed,'male single',young,'high qualif/self emp/mgmt',good
274,'0<=X<200','existing paid',radio/tv,medium,'<100','4<=X<7','male single',young,skilled,bad
275,'<0','existing paid',repairs,high,'<100','<1','male div/sep',young,'unskilled resident',bad
276,'no checking','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,skilled,good
277,'no checking','critical/other existing credit',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
278,'<0','existing paid',furniture/equipment,low,'no known savings','>=7','male div/sep',middle aged,'unskilled resident',good
279,'no checking','existing paid',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,skilled,bad
280,'no checking','existing paid',radio/tv,low,'100<=X<500','1<=X<4','male single',young,'high qualif/self emp/mgmt',good
281,'no checking','critical/other existing credit','used car',medium,'>=1000','>=7','male single',young,skilled,good
282,'no checking','existing paid',furniture/equipment,low,'<100','1<=X<4','male single',middle aged,skilled,good
283,'>=200','all paid',radio/tv,low,'no known savings','4<=X<7','male single',middle aged,'unskilled resident',good
